hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-06,2018-07-07,Single Bed in Male Dormitory Room with Shared Bathroom,₱ 467.17,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-06,2018-07-07,Single Bed in Female Dormitory Room,₱ 467.17,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-06,2018-07-07,Standard Double Room,"₱ 1,401.51",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-06,2018-07-07,Deluxe Double Room,"₱ 1,721.16",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-08,2018-07-09,Single Bed in Male Dormitory Room with Shared Bathroom,₱ 498.31,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-08,2018-07-09,Single Bed in Female Dormitory Room,₱ 498.31,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-08,2018-07-09,Standard Double Room,"₱ 1,494.94",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-08,2018-07-09,Deluxe Double Room,"₱ 1,835.90",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-08,2018-07-09,Family Room,"₱ 2,622.72",1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-12,2018-07-13,Single Bed in Female Dormitory Room,₱ 498.31,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-12,2018-07-13,Single Bed in Male Dormitory Room with Shared Bathroom,₱ 498.31,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-12,2018-07-13,Standard Double Room,"₱ 1,494.94",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-12,2018-07-13,Deluxe Double Room,"₱ 1,835.90",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-12,2018-07-13,Family Room,"₱ 2,622.72",1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-19,2018-07-20,Single Bed in Male Dormitory Room with Shared Bathroom,₱ 502,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-19,2018-07-20,Single Bed in Female Dormitory Room,₱ 502,1,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-19,2018-07-20,Standard Double Room,"₱ 1,376.93",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-19,2018-07-20,Deluxe Double Room,"₱ 1,792.88",2,(5 km from centre),0,1,1,0,0,0,0,1
Spaces by Eco Hotels,"Amorsolo Street cor V.A. Rufino Street Legaspi Village, Makati, 1229 Manila, Philippines",3,8.1,2018-07-19,2018-07-20,Family Room,"₱ 2,294.88",1,(5 km from centre),0,1,1,0,0,0,0,1
