hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-06,2018-07-07,Premiere Suite,"PHP 2,232",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-06,2018-07-07,Superior Suite,"PHP 3,125",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-06,2018-07-07,Suite with Hot Tub,"PHP 4,911",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-06,2018-07-07,Family Suite,"PHP 7,589",1,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-08,2018-07-09,Premiere Suite,"PHP 2,232",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-08,2018-07-09,Superior Suite,"PHP 3,125",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-08,2018-07-09,Suite with Hot Tub,"PHP 4,911",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-08,2018-07-09,Family Suite,"PHP 7,589",1,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-12,2018-07-13,Premiere Suite,"PHP 2,232",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-12,2018-07-13,Superior Suite,"PHP 3,125",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-12,2018-07-13,Suite with Hot Tub,"PHP 4,911",2,not available,0,1,1,0,1,0,0,1
Subic Waterfront Resort And Hotel,"AYC Compound, National Highway, Brgy Santo Thomas , 2209 Subic, Philippines",3,6.5,2018-07-12,2018-07-13,Family Suite,"PHP 7,589",1,not available,0,1,1,0,1,0,0,1
