hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-26,2018-07-27,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-26,2018-07-27,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-26,2018-07-27,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-31,2018-08-01,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-31,2018-08-01,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-07-31,2018-08-01,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-05,2018-08-06,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-05,2018-08-06,Single Bed in Female Dormitory Room,PHP 594,1,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-05,2018-08-06,Standard Double or Twin Room,"PHP 1,936",2,(6 km from centre),0,0,0,0,0

Lub d Philippines Makati,"7833 Makati Avenue Barangay Poblacion,, Makati, 1210 Manila, Philippines",3,9.5,2018-08-10,2018-08-11,Single Bed in Dormitory Room,PHP 572,1,(6 km from centre),0,0,0,0,0

