hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_parking,has_wifi,has_breakfast_food_drinks,has_pool,has_beach_front,has_gym,has_airport_shuttle
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-07-06,2018-07-07,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-07-08,2018-07-09,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-07-08,2018-07-09,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-07-12,2018-07-13,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-07-26,2018-07-27,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-07-26,2018-07-27,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-02,2018-08-03,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-02,2018-08-03,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-04,2018-08-05,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-04,2018-08-05,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-09,2018-08-10,Deluxe Double or Twin Room,"PHP 1,434.38",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-09,2018-08-10,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-16,2018-08-17,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-23,2018-08-24,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-23,2018-08-24,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-30,2018-08-31,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-08-30,2018-08-31,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-03,2018-09-04,Deluxe Double or Twin Room,"PHP 1,434.38",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-03,2018-09-04,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-03,2018-09-04,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-06,2018-09-07,Deluxe Double or Twin Room,"PHP 1,434.38",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-06,2018-09-07,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-06,2018-09-07,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-13,2018-09-14,Deluxe Double or Twin Room,"PHP 1,434.38",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-13,2018-09-14,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-13,2018-09-14,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-20,2018-09-21,Deluxe Double or Twin Room,"PHP 1,434.38",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-20,2018-09-21,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-27,2018-09-28,Standard Double or Twin Room,"PHP 1,487.50",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-09-27,2018-09-28,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-03,2018-10-04,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-03,2018-10-04,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-04,2018-10-05,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-04,2018-10-05,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-11,2018-10-12,Deluxe Double or Twin Room,"PHP 1,593.75",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-11,2018-10-12,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-11,2018-10-12,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-18,2018-10-19,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-18,2018-10-19,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-25,2018-10-26,Deluxe Double or Twin Room,"PHP 1,593.75",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-25,2018-10-26,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-10-25,2018-10-26,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-01,2018-11-02,Deluxe Double or Twin Room,"PHP 1,593.75",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-01,2018-11-02,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-01,2018-11-02,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-02,2018-11-03,Deluxe Double or Twin Room,"PHP 1,593.75",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-02,2018-11-03,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-02,2018-11-03,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-08,2018-11-09,Deluxe Double or Twin Room,"PHP 1,593.75",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-08,2018-11-09,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-08,2018-11-09,Junior Suite,"PHP 2,040",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-15,2018-11-16,Deluxe Double or Twin Room,"PHP 1,593.75",2,(900 m from centre),0,1,1,0,0,0,0,1
ALU Hotel Davao,"M. Roxas Ave. Corner Padre Faura St., 8000 Davao City, Philippines",2,7.8,2018-11-15,2018-11-16,Standard Double or Twin Room,"PHP 1,700",2,(900 m from centre),0,1,1,0,0,0,0,1
