hotel_name,address,stars,rating,check-in-date,check-out-date,room_type,price,capacity,location_from_center,is_hotel_chain,has_breakfast_buffet,has_pool,has_gym,has_function_room
Davao Royal Suites and Residences,"34 C.M Recto Ave. Brgy 38-D Pob. Davao City, 8000 Davao City, Philippines",2,7.2,2018-06-21,2018-06-22,Economy Double Room,"₱ 1,130",2,(300 m from centre),0,0,0,0,0
Davao Royal Suites and Residences,"34 C.M Recto Ave. Brgy 38-D Pob. Davao City, 8000 Davao City, Philippines",2,7.2,2018-06-21,2018-06-22,Deluxe Double Room,"₱ 1,870",2,(300 m from centre),0,0,0,0,0
Davao Royal Suites and Residences,"34 C.M Recto Ave. Brgy 38-D Pob. Davao City, 8000 Davao City, Philippines",2,7.2,2018-06-21,2018-06-22,Deluxe Twin Room,"₱ 1,970",2,(300 m from centre),0,0,0,0,0
Sunny Point Hotel,"Don Julian Rodriguez Sr. Ave (formerly Maa Road), Brgy. Maa, 8000 Davao City, Philippines",2,7.0,2018-06-21,2018-06-22,Standard Double or Twin Room,"₱ 1,125",2,(4.5 km from centre),0,0,0,0,0
North Zen Basic Spaces,"Sobrecary Street Corner Lapu-Lapu St., 8000 Davao City, Philippines",3,7.2,2018-06-21,2018-06-22,Matrimonial,"₱ 1,440",2,(1.9 km from centre),0,0,0,0,0
North Zen Basic Spaces,"Sobrecary Street Corner Lapu-Lapu St., 8000 Davao City, Philippines",3,7.2,2018-06-21,2018-06-22,Superior Twin Room,"₱ 1,480",2,(1.9 km from centre),0,0,0,0,0
North Zen Basic Spaces,"Sobrecary Street Corner Lapu-Lapu St., 8000 Davao City, Philippines",3,7.2,2018-06-21,2018-06-22,Deluxe Twin Room,"₱ 1,480",2,(1.9 km from centre),0,0,0,0,0
North Zen Basic Spaces,"Sobrecary Street Corner Lapu-Lapu St., 8000 Davao City, Philippines",3,7.2,2018-06-21,2018-06-22,ZEN Suite,"₱ 2,000",2,(1.9 km from centre),0,0,0,0,0
Obrero Suites,"70 Palma Gil Street Barrio, Obrero, 8000 Davao City, Philippines",4,7.1,2018-06-21,2018-06-22,Double Room with Balcony,"₱ 1,300",1,(2.5 km from centre),0,0,0,0,0
Obrero Suites,"70 Palma Gil Street Barrio, Obrero, 8000 Davao City, Philippines",4,7.1,2018-06-21,2018-06-22,Standard Triple Room,"₱ 1,850",3,(2.5 km from centre),0,0,0,0,0
Las Casitas de Angela Inn Dos,"#509 Loyola Street, Bo. Obrero, 8000 Davao City, Philippines",2,6.6,2018-06-21,2018-06-22,Deluxe Room with Kitchen,"₱ 2,275",2,(2.9 km from centre),0,0,0,0,0
Las Casitas de Angela Inn Dos,"#509 Loyola Street, Bo. Obrero, 8000 Davao City, Philippines",2,6.6,2018-06-21,2018-06-22,Triple Room,"₱ 1,975",3,(2.9 km from centre),0,0,0,0,0
La Anclar Hotel,"34D Bonifacio Street, Davao City, 8000 Davao City, Philippines",3,6.7,2018-06-21,2018-06-22,Large Twin Room,"₱ 1,450",2,(550 m from centre),0,0,0,0,0
Hotel Uno,"C.M. Recto St. (Beside Lawaan Theatre), 8000 Davao City, Philippines",2,6.5,2018-06-21,2018-06-22,Single Premier,"₱ 1,070",1,(700 m from centre),0,0,0,0,0
Hotel Uno,"C.M. Recto St. (Beside Lawaan Theatre), 8000 Davao City, Philippines",2,6.5,2018-06-21,2018-06-22,Double Standard,"₱ 1,215",2,(700 m from centre),0,0,0,0,0
Hotel Uno,"C.M. Recto St. (Beside Lawaan Theatre), 8000 Davao City, Philippines",2,6.5,2018-06-21,2018-06-22,Double Premier,"₱ 1,285",2,(700 m from centre),0,0,0,0,0
